"Time","Value"
2025-11-20 06:08:00,1118
2025-11-20 06:10:00,1165
2025-11-20 06:12:00,1198
2025-11-20 06:14:00,1218
2025-11-20 06:16:00,1224
2025-11-20 06:18:00,1224
2025-11-20 06:20:00,1246
2025-11-20 06:22:00,1268
2025-11-20 06:24:00,1304
2025-11-20 06:26:00,1332
2025-11-20 06:28:00,1372
2025-11-20 06:30:00,1404
2025-11-20 06:32:00,1443
2025-11-20 06:34:00,1472
2025-11-20 06:36:00,1499
2025-11-20 06:38:00,1553
2025-11-20 06:40:00,1576
2025-11-20 06:42:00,1600
2025-11-20 06:44:00,1622
2025-11-20 06:46:00,1637
2025-11-20 06:48:00,1666
2025-11-20 06:50:00,1681
2025-11-20 06:52:00,1702
2025-11-20 06:54:00,1766
2025-11-20 06:56:00,1819
2025-11-20 06:58:00,1863
2025-11-20 07:00:00,1894
2025-11-20 07:02:00,1940
2025-11-20 07:04:00,1944
2025-11-20 07:06:00,1946
2025-11-20 07:08:00,1947
2025-11-20 07:10:00,1971
2025-11-20 07:12:00,2033
2025-11-20 07:14:00,2105
2025-11-20 07:16:00,2162
2025-11-20 07:18:00,2222
2025-11-20 07:20:00,2243
2025-11-20 07:22:00,2255
2025-11-20 07:24:00,2255
2025-11-20 07:26:00,2258
2025-11-20 07:28:00,2285
2025-11-20 07:30:00,2337
2025-11-20 07:32:00,2390
2025-11-20 07:34:00,2471
2025-11-20 07:36:00,2527
2025-11-20 07:38:00,2556
2025-11-20 07:40:00,2564
2025-11-20 07:42:00,2575
2025-11-20 07:44:00,2612
2025-11-20 07:46:00,2642
2025-11-20 07:48:00,2678
2025-11-20 07:50:00,2747
2025-11-20 07:52:00,2789
2025-11-20 07:54:00,2819
2025-11-20 07:56:00,2858
2025-11-20 07:58:00,2878
2025-11-20 08:00:00,2880
2025-11-20 08:02:00,2923
2025-11-20 08:04:00,2935
2025-11-20 08:06:00,2995
2025-11-20 08:08:00,3071
2025-11-20 08:10:00,3128
2025-11-20 08:12:00,3173
2025-11-20 08:14:00,3181
2025-11-20 08:16:00,3190
2025-11-20 08:18:00,3197
2025-11-20 08:20:00,3232
2025-11-20 08:22:00,3288
2025-11-20 08:24:00,3345
2025-11-20 08:26:00,3402
2025-11-20 08:28:00,3450
2025-11-20 08:30:00,3475
2025-11-20 08:32:00,3497
2025-11-20 08:34:00,3505
2025-11-20 08:36:00,3510
2025-11-20 08:38:00,3521
2025-11-20 08:40:00,3549
2025-11-20 08:42:00,3601
2025-11-20 08:44:00,3687
2025-11-20 08:46:00,3755
2025-11-20 08:48:00,3813
2025-11-20 08:50:00,3821
2025-11-20 08:52:00,3823
2025-11-20 08:54:00,3823
2025-11-20 08:56:00,3870
2025-11-20 08:58:00,3953
2025-11-20 09:00:00,4030
2025-11-20 09:02:00,4084
2025-11-20 09:04:00,4119
2025-11-20 09:06:00,4134
2025-11-20 09:08:00,4141
2025-11-20 09:10:00,4141
2025-11-20 09:12:00,4164
2025-11-20 09:14:00,4203
2025-11-20 09:16:00,4246
2025-11-20 09:18:00,4312
2025-11-20 09:20:00,4386
2025-11-20 09:22:00,4408
2025-11-20 09:24:00,4420
2025-11-20 09:26:00,4439
2025-11-20 09:28:00,4469
2025-11-20 09:30:00,4522
2025-11-20 09:32:00,4557
2025-11-20 09:34:00,4594
2025-11-20 09:36:00,4626
2025-11-20 09:38:00,4651
2025-11-20 09:40:00,4656
2025-11-20 09:42:00,4656
2025-11-20 09:44:00,4657
2025-11-20 09:46:00,4689
2025-11-20 09:48:00,4758
2025-11-20 09:50:00,4816
2025-11-20 09:52:00,4870
2025-11-20 09:54:00,4909
2025-11-20 09:56:00,4945
2025-11-20 09:58:00,4966
2025-11-20 10:00:00,4967
2025-11-20 10:02:00,4967
2025-11-20 10:04:00,4983
2025-11-20 10:06:00,5021
2025-11-20 10:08:00,5057
2025-11-20 10:10:00,5088
2025-11-20 10:12:00,5135
2025-11-20 10:14:00,5182
2025-11-20 10:16:00,5222
2025-11-20 10:18:00,5245
2025-11-20 10:20:00,5264
2025-11-20 10:22:00,5283
2025-11-20 10:24:00,5295
2025-11-20 10:26:00,5311
2025-11-20 10:28:00,5331
2025-11-20 10:30:00,5378
2025-11-20 10:32:00,5435
2025-11-20 10:34:00,5505
2025-11-20 10:36:00,5560
2025-11-20 10:38:00,5586
2025-11-20 10:40:00,5593
2025-11-20 10:42:00,5594
2025-11-20 10:44:00,5628
2025-11-20 10:46:00,5658
